id,safra,y,VAR_6,VAR_20,VAR_19,VAR_25,VAR_44,VAR_12,VAR_9,VAR_69,VAR_77,VAR_57,VAR_33,VAR_59,VAR_53
185,201409,1,532.0,12,0.0,0.0,0.0,,2076.98,,,54,0.0,,
186,201404,0,2375.0,12,30.0,12.0,11.0,473.0,1720.5,272.81,0.0,36,1.0,127.74,1720.5
187,201403,1,986.0,12,0.0,0.0,6.0,,800.23,203.8,35.84,28,0.0,173.22,800.23
188,201407,1,1944.0,12,12.0,10.0,11.0,554.0,3000.0,771.47,260.25,53,3.0,562.77,8500.0
189,201411,0,477.0,4,0.0,0.0,0.0,,400.0,,,34,0.0,,200.0
190,201405,0,265.0,12,0.0,0.0,0.0,,1500.0,,,48,0.0,,1500.0
191,201407,1,377.0,12,0.0,0.0,0.0,,865.99,,,39,0.0,,865.99
192,201407,0,301.0,12,0.0,0.0,0.0,,800.0,,,51,0.0,,800.0
193,201408,0,875.0,12,0.0,0.0,6.0,,700.0,358.56,138.56,29,0.0,430.72,850.0
194,201403,0,1702.0,5,7.0,12.0,12.0,1030.0,400.0,773.56,0.0,35,1.0,463.21,1000.0
195,201409,0,1192.0,3,0.0,2.0,11.0,333.0,300.0,468.42,110.34,40,0.0,138.96,
196,201404,0,1031.0,12,0.0,0.0,10.0,42.0,500.0,356.74,99.85,32,0.0,315.44,500.0
197,201410,0,2537.0,12,19.0,7.0,3.0,99.0,1000.0,,,42,7.0,,
198,201409,0,3257.0,12,7.0,0.0,6.0,,1200.0,349.59,105.26,28,5.0,216.83,1341.88
199,201407,0,2193.0,12,5.0,0.0,5.0,66.0,1000.0,129.98,0.0,43,14.0,213.13,1000.0
200,201402,1,1071.0,12,0.0,0.0,11.0,,1000.0,783.88,148.68,29,0.0,463.94,1000.0
201,201402,1,794.0,12,0.0,0.0,3.0,,2900.69,581.37,172.16,39,0.0,498.0,3900.69
202,201405,0,441.0,5,0.0,0.0,0.0,,500.0,,,44,0.0,,1300.0
203,201405,0,307.0,12,0.0,0.0,0.0,,2000.0,,,49,0.0,,2783.92
204,201407,0,1931.0,12,14.0,9.0,12.0,638.0,2000.0,662.14,198.31,44,2.0,441.74,6000.0
205,201407,0,2823.0,5,5.0,0.0,1.0,,300.0,,,46,4.0,,300.0
206,201410,1,298.0,10,0.0,0.0,0.0,,1500.0,,,31,0.0,,
207,201408,1,1703.0,12,8.0,2.0,0.0,121.0,1200.0,,,30,1.0,,3200.0
208,201408,0,205.0,12,0.0,0.0,0.0,,1654.76,,,54,0.0,,1654.76
209,201412,0,1339.0,10,0.0,5.0,8.0,692.0,1930.0,406.83,0.0,54,0.0,,5000.0
210,201404,0,1280.0,12,0.0,5.0,10.0,319.0,800.0,634.27,162.23,57,0.0,225.33,800.0
211,201412,0,1206.0,12,0.0,2.0,10.0,167.0,700.0,452.4,83.54,34,0.0,259.03,1300.0
212,201411,1,168.0,12,0.0,0.0,0.0,,850.0,,,45,0.0,,
213,201408,0,242.0,12,0.0,0.0,0.0,,1500.0,,,40,0.0,,1500.0
214,201403,0,292.0,12,0.0,0.0,0.0,,921.6,,,30,0.0,,921.6
215,201403,1,250.0,12,0.0,0.0,0.0,,300.0,,,31,0.0,,300.0
216,201406,0,521.0,3,0.0,0.0,0.0,,500.0,,,45,0.0,,500.0
217,201408,0,813.0,5,0.0,0.0,5.0,,300.0,466.28,97.26,30,0.0,471.02,300.0
218,201407,0,3606.0,12,28.0,0.0,7.0,,2000.0,766.2,89.38,53,2.0,656.95,5000.0
219,201405,0,843.0,3,0.0,0.0,4.0,,500.0,401.73,0.0,54,0.0,344.44,500.0
220,201409,0,1529.0,10,2.0,10.0,12.0,472.0,1000.0,1088.64,0.0,44,1.0,472.93,17149.85
221,201404,0,211.0,12,0.0,0.0,0.0,,900.0,,,29,0.0,,900.0
222,201402,1,539.0,12,0.0,0.0,0.0,,2000.0,,,52,0.0,,5200.0
223,201403,0,2460.0,3,19.0,10.0,8.0,1157.0,200.0,157.93,0.0,28,14.0,206.3,1550.0
224,201403,1,2698.0,12,15.0,3.0,1.0,39.0,500.0,,,30,4.0,,500.0
225,201409,0,304.0,3,0.0,0.0,0.0,,500.0,,,53,0.0,,
226,201405,0,2623.0,12,32.0,5.0,6.0,179.0,2060.0,,,52,8.0,,2114.25
227,201407,0,377.0,5,0.0,0.0,0.0,,600.0,,,48,0.0,,600.0
228,201403,0,3035.0,12,42.0,11.0,12.0,421.0,1000.0,729.32,249.45,61,9.0,712.4,3000.0
229,201402,0,1096.0,12,0.0,0.0,10.0,32.0,1000.0,366.02,41.11,28,0.0,355.91,2000.0
230,201402,0,4326.0,12,10.0,0.0,0.0,,1300.0,,,47,8.0,115.5,2600.0
231,201403,0,2689.0,10,27.0,9.0,10.0,176.0,1500.0,161.88,0.0,53,4.0,236.79,5034.23
232,201405,0,,12,,,,,1000.0,,,50,,,2000.0
233,201409,0,349.0,12,0.0,0.0,0.0,,1200.0,,,53,0.0,,
234,201410,1,165.0,12,0.0,0.0,0.0,,807.0,,,43,0.0,,
235,201402,0,1492.0,4,0.0,2.0,1.0,,280.0,,,41,2.0,,1030.18
236,201405,0,743.0,12,0.0,0.0,3.0,,1000.0,227.1,57.15,33,0.0,263.73,1000.0
237,201402,1,235.0,12,0.0,0.0,0.0,,2249.3,,,30,0.0,,4498.6
238,201403,0,837.0,12,0.0,0.0,3.0,,1200.0,161.95,0.0,33,0.0,257.56,2200.0
239,201401,1,602.0,12,0.0,0.0,0.0,,1607.6,,,44,0.0,31.63,3215.2
240,201412,0,362.0,12,0.0,0.0,0.0,,2232.5,,,35,0.0,,
241,201401,0,770.0,12,0.0,0.0,2.0,,2500.0,154.65,0.0,34,0.0,447.9,6500.0
242,201410,1,732.0,12,0.0,0.0,0.0,,800.0,125.88,36.51,42,0.0,118.05,
243,201406,0,4239.0,4,17.0,4.0,10.0,293.0,330.0,216.91,0.0,67,6.0,142.69,330.0
244,201411,0,740.0,12,0.0,0.0,0.0,,1000.0,400.0,83.58,37,0.0,310.7,500.0
245,201407,0,4455.0,10,41.0,5.0,11.0,397.0,1000.0,,,30,31.0,,2600.0
246,201401,1,752.0,6,0.0,0.0,1.0,,1000.0,290.07,0.0,45,0.0,408.32,2500.0
247,201407,0,1299.0,12,0.0,5.0,9.0,243.0,2330.43,397.87,0.0,29,0.0,378.25,7230.43
248,201408,0,409.0,12,0.0,0.0,0.0,,1000.0,,,32,0.0,,1000.0
249,201401,0,1078.0,12,0.0,1.0,6.0,223.0,1340.23,,,22,0.0,,2680.46
250,201412,0,635.0,12,0.0,0.0,0.0,,1380.0,436.88,157.94,51,0.0,267.26,
251,201403,0,3483.0,12,29.0,5.0,7.0,151.0,1000.0,31.98,0.0,43,34.0,,1000.0
252,201405,0,976.0,12,0.0,0.0,8.0,,2000.0,815.23,162.09,67,0.0,437.58,8500.0
253,201405,0,1124.0,12,0.0,0.0,11.0,579.0,1300.0,1206.67,0.0,65,0.0,1053.42,4095.56
254,201401,0,793.0,6,0.0,0.0,2.0,,1000.0,395.86,0.0,29,0.0,263.08,2500.0
255,201405,0,1102.0,12,0.0,0.0,12.0,55.0,1228.02,256.92,0.0,46,0.0,221.03,4514.52
256,201412,0,729.0,12,0.0,0.0,1.0,,500.0,500.92,168.57,32,0.0,329.13,1500.0
257,201406,0,193.0,12,0.0,0.0,0.0,,1000.0,,,27,0.0,,1000.0
258,201407,0,259.0,12,0.0,0.0,0.0,,1000.0,,,44,0.0,,1000.0
259,201411,0,4488.0,5,43.0,0.0,0.0,,500.0,,,45,5.0,,
260,201405,1,386.0,3,0.0,0.0,0.0,,200.0,,,45,0.0,,200.0
261,201409,0,255.0,12,0.0,0.0,0.0,,1000.0,,,26,0.0,,400.0
262,201403,0,461.0,6,0.0,0.0,0.0,,310.3,,,23,0.0,,310.3
263,201407,0,990.0,12,0.0,0.0,9.0,,1000.0,663.93,62.3,52,0.0,687.88,4583.8
264,201403,0,1179.0,12,0.0,2.0,12.0,216.0,1000.0,300.91,0.0,46,0.0,414.56,6000.0
265,201401,1,2229.0,10,19.0,6.0,8.0,322.0,705.12,592.82,0.0,38,6.0,525.35,1410.24
266,201403,0,406.0,12,0.0,0.0,0.0,,1000.0,,,30,0.0,,2000.0
267,201401,0,768.0,3,0.0,0.0,1.0,,320.0,278.91,0.0,31,0.0,401.28,640.0
268,201409,1,484.0,12,0.0,0.0,0.0,,1200.0,,,68,0.0,,
269,201408,0,711.0,5,0.0,0.0,0.0,,578.29,408.94,133.63,54,0.0,348.9,2478.29
270,201402,1,552.0,12,0.0,0.0,0.0,,1159.0,,,35,0.0,,3097.45
271,201412,0,518.0,6,0.0,0.0,0.0,,1000.0,,,46,0.0,,500.0
272,201406,0,877.0,9,0.0,0.0,6.0,,900.0,1570.61,449.93,55,0.0,677.97,1900.0
273,201411,1,236.0,12,0.0,0.0,0.0,,758.25,,,34,0.0,,
274,201402,0,913.0,12,0.0,0.0,6.0,,2500.0,572.13,109.59,34,0.0,617.7,4742.71
275,201405,1,476.0,9,0.0,0.0,0.0,,1000.0,,,52,0.0,,1800.0
276,201401,0,754.0,10,0.0,0.0,0.0,,200.0,213.93,0.0,46,0.0,691.51,400.0
277,201409,1,676.0,8,0.0,0.0,0.0,,1500.0,,,56,0.0,233.69,
